"StartDay","StartMonth","StartYear","FromStationId","n","Mean.Temp","Mena.Humidity","Mean.Visib","Mean.Wind","Types","Weekend","Holiday"
"30","6","2015","1001",1,68,79,8,8,"2","0","0"
"1","7","2015","1000",25,67,72,7,9,"1","0","0"
"1","7","2015","1028",12,67,72,7,9,"1","0","0"
"1","7","2015","1038",4,67,72,7,9,"1","0","0"
"1","7","2015","1004",11,67,72,7,9,"1","0","0"
"1","7","2015","1044",7,67,72,7,9,"1","0","0"
"1","7","2015","1012",4,67,72,7,9,"1","0","0"
"1","7","2015","1034",3,67,72,7,9,"1","0","0"
"1","7","2015","1024",3,67,72,7,9,"1","0","0"
"1","7","2015","1016",9,67,72,7,9,"1","0","0"
"1","7","2015","1002",7,67,72,7,9,"1","0","0"
"1","7","2015","1020",9,67,72,7,9,"1","0","0"
"1","7","2015","1031",8,67,72,7,9,"1","0","0"
"1","7","2015","1010",15,67,72,7,9,"1","0","0"
"1","7","2015","1003",7,67,72,7,9,"1","0","0"
"1","7","2015","1043",3,67,72,7,9,"1","0","0"
"1","7","2015","1047",9,67,72,7,9,"1","0","0"
"1","7","2015","1027",7,67,72,7,9,"1","0","0"
"1","7","2015","1011",7,67,72,7,9,"1","0","0"
"1","7","2015","1040",16,67,72,7,9,"1","0","0"
"1","7","2015","1029",4,67,72,7,9,"1","0","0"
"1","7","2015","1019",8,67,72,7,9,"1","0","0"
"1","7","2015","1023",9,67,72,7,9,"1","0","0"
"1","7","2015","1009",6,67,72,7,9,"1","0","0"
"1","7","2015","1030",4,67,72,7,9,"1","0","0"
"1","7","2015","1006",9,67,72,7,9,"1","0","0"
"1","7","2015","1025",5,67,72,7,9,"1","0","0"
"1","7","2015","1032",10,67,72,7,9,"1","0","0"
"1","7","2015","1039",9,67,72,7,9,"1","0","0"
"1","7","2015","1033",11,67,72,7,9,"1","0","0"
"1","7","2015","1026",5,67,72,7,9,"1","0","0"
"1","7","2015","1018",4,67,72,7,9,"1","0","0"
"1","7","2015","1001",21,67,72,7,9,"1","0","0"
"1","7","2015","1048",14,67,72,7,9,"1","0","0"
"1","7","2015","1035",5,67,72,7,9,"1","0","0"
"1","7","2015","1005",9,67,72,7,9,"1","0","0"
"1","7","2015","1041",10,67,72,7,9,"1","0","0"
"1","7","2015","1013",14,67,72,7,9,"1","0","0"
"1","7","2015","1007",11,67,72,7,9,"1","0","0"
"1","7","2015","1049",12,67,72,7,9,"1","0","0"
"1","7","2015","1046",7,67,72,7,9,"1","0","0"
"1","7","2015","1021",7,67,72,7,9,"1","0","0"
"1","7","2015","1015",4,67,72,7,9,"1","0","0"
"1","7","2015","1014",8,67,72,7,9,"1","0","0"
"1","7","2015","1008",15,67,72,7,9,"1","0","0"
"1","7","2015","1017",9,67,72,7,9,"1","0","0"
"1","7","2015","1022",3,67,72,7,9,"1","0","0"
"1","7","2015","1045",28,67,72,7,9,"1","0","0"
"2","7","2015","1038",7,68,63,9,3,"1","0","0"
"2","7","2015","1034",4,68,63,9,3,"1","0","0"
"2","7","2015","1029",9,68,63,9,3,"1","0","0"
"2","7","2015","1031",3,68,63,9,3,"1","0","0"
"2","7","2015","1020",9,68,63,9,3,"1","0","0"
"2","7","2015","1010",20,68,63,9,3,"1","0","0"
"2","7","2015","1041",15,68,63,9,3,"1","0","0"
"2","7","2015","1028",5,68,63,9,3,"1","0","0"
"2","7","2015","1043",10,68,63,9,3,"1","0","0"
"2","7","2015","1047",8,68,63,9,3,"1","0","0"
"2","7","2015","1027",5,68,63,9,3,"1","0","0"
"2","7","2015","1048",22,68,63,9,3,"1","0","0"
"2","7","2015","1015",4,68,63,9,3,"1","0","0"
"2","7","2015","1044",7,68,63,9,3,"1","0","0"
"2","7","2015","1016",15,68,63,9,3,"1","0","0"
"2","7","2015","1023",16,68,63,9,3,"1","0","0"
"2","7","2015","1013",12,68,63,9,3,"1","0","0"
"2","7","2015","1030",9,68,63,9,3,"1","0","0"
"2","7","2015","1035",11,68,63,9,3,"1","0","0"
"2","7","2015","1046",5,68,63,9,3,"1","0","0"
"2","7","2015","1000",17,68,63,9,3,"1","0","0"
"2","7","2015","1014",9,68,63,9,3,"1","0","0"
"2","7","2015","1033",12,68,63,9,3,"1","0","0"
"2","7","2015","1026",4,68,63,9,3,"1","0","0"
"2","7","2015","1012",6,68,63,9,3,"1","0","0"
"2","7","2015","1001",31,68,63,9,3,"1","0","0"
"2","7","2015","1022",3,68,63,9,3,"1","0","0"
"2","7","2015","1019",16,68,63,9,3,"1","0","0"
"2","7","2015","1005",11,68,63,9,3,"1","0","0"
"2","7","2015","1002",10,68,63,9,3,"1","0","0"
"2","7","2015","1049",10,68,63,9,3,"1","0","0"
"2","7","2015","1007",3,68,63,9,3,"1","0","0"
"2","7","2015","1039",8,68,63,9,3,"1","0","0"
"2","7","2015","1032",17,68,63,9,3,"1","0","0"
"2","7","2015","1021",9,68,63,9,3,"1","0","0"
"2","7","2015","1009",4,68,63,9,3,"1","0","0"
"2","7","2015","1040",17,68,63,9,3,"1","0","0"
"2","7","2015","1004",22,68,63,9,3,"1","0","0"
"2","7","2015","1008",6,68,63,9,3,"1","0","0"
"2","7","2015","1017",17,68,63,9,3,"1","0","0"
"2","7","2015","1018",10,68,63,9,3,"1","0","0"
"2","7","2015","1003",9,68,63,9,3,"1","0","0"
"2","7","2015","1024",5,68,63,9,3,"1","0","0"
"2","7","2015","1011",10,68,63,9,3,"1","0","0"
"2","7","2015","1006",11,68,63,9,3,"1","0","0"
"2","7","2015","1045",22,68,63,9,3,"1","0","0"
"2","7","2015","1025",8,68,63,9,3,"1","0","0"
"3","7","2015","1035",10,67,69,8,5,"2","0","1"
"3","7","2015","1034",9,67,69,8,5,"2","0","1"
"3","7","2015","1016",26,67,69,8,5,"2","0","1"
