"date","Mean.Temp","Mena.Humidity","Mean.Visib","Mean.Wind","Types"
2015-06-30,68,79,8,8,"Rain"
2015-07-01,67,72,7,9,"Sunny"
2015-07-02,68,63,9,3,"Sunny"
2015-07-03,67,69,8,5,"Rain"
2015-07-04,71,80,4,3,"Fog-Rain"
2015-07-05,70,59,9,3,"Sunny"
2015-07-06,74,74,8,5,"Rain"
2015-07-07,75,77,7,10,"Rain"
2015-07-08,68,83,7,7,"Rain"
2015-07-09,74,83,6,8,"Rain"
2015-07-10,68,80,6,3,"Rain"
2015-07-11,72,64,9,2,"Sunny"
2015-07-12,72,71,8,2,"Rain"
2015-07-13,72,73,9,5,"Rain"
2015-07-14,73,78,8,10,"Rain"
2015-07-15,70,75,8,7,"Sunny"
2015-07-16,67,53,10,4,"Sunny"
2015-07-17,70,67,10,7,"Sunny"
2015-07-18,80,65,10,9,"Sunny"
2015-07-19,80,67,9,8,"Sunny"
2015-07-20,76,66,10,7,"Sunny"
2015-07-21,75,65,10,7,"Rain-Thunderstorm"
2015-07-22,68,52,10,6,"Sunny"
2015-07-23,70,48,10,2,"Sunny"
2015-07-24,71,50,10,4,"Sunny"
2015-07-25,75,47,10,3,"Sunny"
2015-07-26,76,62,10,5,"Sunny"
2015-07-27,78,72,6,4,"Fog"
2015-07-28,79,63,7,3,"Sunny"
2015-07-29,80,59,9,4,"Sunny"
2015-07-30,78,51,9,7,"Sunny"
2015-07-31,75,48,10,8,"Sunny"
2015-08-01,74,46,10,9,"Sunny"
2015-08-02,74,52,10,9,"Sunny"
2015-08-03,74,72,7,8,"Rain-Thunderstorm"
2015-08-04,71,61,9,8,"Sunny"
2015-08-05,71,51,10,6,"Sunny"
2015-08-06,64,63,10,4,"Sunny"
2015-08-07,66,66,10,5,"Sunny"
2015-08-08,72,66,10,2,"Sunny"
2015-08-09,74,60,10,3,"Sunny"
2015-08-10,74,67,9,4,"Sunny"
2015-08-11,74,70,10,9,"Rain"
2015-08-12,68,62,10,7,"Sunny"
2015-08-13,66,53,10,5,"Sunny"
2015-08-14,72,52,10,6,"Sunny"
2015-08-15,74,54,10,5,"Sunny"
2015-08-16,76,56,8,3,"Sunny"
2015-08-17,78,53,9,6,"Sunny"
2015-08-18,72,78,8,7,"Rain"
2015-08-19,76,77,7,6,"Fog"
2015-08-20,74,67,10,9,"Rain"
2015-08-21,68,49,10,6,"Sunny"
2015-08-22,68,50,10,4,"Sunny"
2015-08-23,70,55,10,5,"Sunny"
2015-08-24,72,56,10,7,"Sunny"
2015-08-25,64,54,10,7,"Sunny"
2015-08-26,60,61,10,6,"Sunny"
2015-08-27,64,63,10,3,"Sunny"
2015-08-28,68,55,10,2,"Sunny"
2015-08-29,68,55,9,4,"Sunny"
2015-08-30,75,65,9,6,"Rain"
2015-08-31,76,60,9,6,"Sunny"
2015-09-01,76,62,8,3,"Sunny"
2015-09-02,78,61,9,4,"Rain-Thunderstorm"
2015-09-03,76,65,8,5,"Rain-Thunderstorm"
2015-09-04,78,63,7,4,"Sunny"
2015-09-05,77,67,7,5,"Rain"
2015-09-06,75,61,10,5,"Sunny"
2015-09-07,77,52,10,6,"Sunny"
2015-09-08,78,53,10,5,"Sunny"
2015-09-09,78,67,10,7,"Rain-Thunderstorm"
2015-09-10,67,84,6,5,"Fog-Rain"
2015-09-11,67,76,6,3,"Fog"
2015-09-12,58,85,5,6,"Rain"
2015-09-13,56,72,10,7,"Rain"
2015-09-14,61,50,10,9,"Sunny"
2015-09-15,62,60,9,5,"Fog"
2015-09-16,68,53,9,3,"Sunny"
2015-09-17,70,56,8,3,"Sunny"
2015-09-18,68,59,9,6,"Sunny"
2015-09-19,71,70,8,10,"Rain"
2015-09-20,60,64,10,6,"Sunny"
2015-09-21,60,60,10,7,"Sunny"
2015-09-22,64,66,10,6,"Sunny"
2015-09-23,65,62,9,3,"Sunny"
2015-09-24,67,53,10,5,"Sunny"
2015-09-25,65,54,10,6,"Sunny"
2015-09-26,65,50,10,8,"Sunny"
2015-09-27,66,60,10,9,"Rain"
2015-09-28,68,82,7,6,"Rain"
2015-09-29,66,87,4,5,"Fog-Rain"
2015-09-30,60,83,6,9,"Rain"
2015-10-01,56,67,10,7,"Sunny"
2015-10-02,50,62,10,9,"Rain"
2015-10-03,47,82,9,9,"Rain"
2015-10-04,54,72,10,8,"Sunny"
2015-10-05,58,60,10,3,"Sunny"
2015-10-06,62,64,10,1,"Sunny"
2015-10-07,64,70,9,3,"Sunny"
2015-10-08,62,74,6,2,"Fog"
2015-10-09,62,75,8,9,"Rain"
2015-10-10,54,60,10,4,"Sunny"
2015-10-11,54,66,9,7,"Fog"
2015-10-12,58,57,10,9,"Sunny"
2015-10-13,58,72,10,11,"Rain"
2015-10-14,52,65,10,8,"Sunny"
2015-10-15,54,60,10,8,"Sunny"
2015-10-16,50,65,10,9,"Rain"
2015-10-17,39,63,10,7,"Sunny"
2015-10-18,38,61,10,6,"Sunny"
2015-10-19,42,52,10,7,"Sunny"
2015-10-20,58,38,10,9,"Sunny"
2015-10-21,58,43,10,8,"Sunny"
2015-10-22,62,61,9,9,"Rain"
2015-10-23,53,59,10,5,"Sunny"
2015-10-24,58,70,7,9,"Rain"
2015-10-25,52,70,10,9,"Rain"
2015-10-26,47,58,10,3,"Sunny"
2015-10-27,49,54,10,8,"Rain"
2015-10-28,58,77,8,11,"Rain"
2015-10-29,53,55,10,15,"Rain"
2015-10-30,45,61,10,7,"Sunny"
2015-10-31,51,51,10,4,"Sunny"
2015-11-01,58,64,9,12,"Rain"
2015-11-02,58,61,7,5,"Sunny"
2015-11-03,60,40,10,3,"Sunny"
2015-11-04,65,46,10,6,"Sunny"
2015-11-05,68,56,10,7,"Sunny"
2015-11-06,65,63,9,10,"Rain"
2015-11-07,50,54,10,9,"Sunny"
2015-11-08,46,46,10,4,"Sunny"
2015-11-09,47,52,10,4,"Rain"
2015-11-10,52,80,5,8,"Rain"
2015-11-11,48,71,6,8,"Sunny"
2015-11-12,55,61,10,12,"Rain"
2015-11-13,46,41,10,18,"Sunny"
2015-11-14,42,46,10,13,"Sunny"
2015-11-15,50,39,10,10,"Sunny"
2015-11-16,52,38,10,6,"Sunny"
2015-11-17,56,38,10,9,"Sunny"
2015-11-18,59,58,9,14,"Rain"
2015-11-19,57,59,10,13,"Rain"
2015-11-20,42,27,10,9,"Sunny"
2015-11-21,45,38,10,9,"Rain"
