"Mean.Temp","Mena.Humidity","Mean.Visib","Mean.Wind","Types","Day","Weekend","Month","Year","Holiday"
68,79,8,8,"Rain","30","no","6","2015",0
67,72,7,9,"Sunny","1","no","7","2015",0
68,63,9,3,"Sunny","2","no","7","2015",0
67,69,8,5,"Rain","3","no","7","2015",1
71,80,4,3,"Rain","4","yes","7","2015",1
70,59,9,3,"Sunny","5","yes","7","2015",1
74,74,8,5,"Rain","6","no","7","2015",0
75,77,7,10,"Rain","7","no","7","2015",0
68,83,7,7,"Rain","8","no","7","2015",0
74,83,6,8,"Rain","9","no","7","2015",0
68,80,6,3,"Rain","10","no","7","2015",0
72,64,9,2,"Sunny","11","yes","7","2015",1
72,71,8,2,"Rain","12","yes","7","2015",1
72,73,9,5,"Rain","13","no","7","2015",0
73,78,8,10,"Rain","14","no","7","2015",0
70,75,8,7,"Sunny","15","no","7","2015",0
67,53,10,4,"Sunny","16","no","7","2015",0
70,67,10,7,"Sunny","17","no","7","2015",0
80,65,10,9,"Sunny","18","yes","7","2015",1
80,67,9,8,"Sunny","19","yes","7","2015",1
76,66,10,7,"Sunny","20","no","7","2015",0
75,65,10,7,"Rain","21","no","7","2015",0
68,52,10,6,"Sunny","22","no","7","2015",0
70,48,10,2,"Sunny","23","no","7","2015",0
71,50,10,4,"Sunny","24","no","7","2015",0
75,47,10,3,"Sunny","25","yes","7","2015",1
76,62,10,5,"Sunny","26","yes","7","2015",1
78,72,6,4,"Sunny","27","no","7","2015",0
79,63,7,3,"Sunny","28","no","7","2015",0
80,59,9,4,"Sunny","29","no","7","2015",0
78,51,9,7,"Sunny","30","no","7","2015",0
75,48,10,8,"Sunny","31","no","7","2015",0
74,46,10,9,"Sunny","1","yes","8","2015",1
74,52,10,9,"Sunny","2","yes","8","2015",1
74,72,7,8,"Rain","3","no","8","2015",0
71,61,9,8,"Sunny","4","no","8","2015",0
71,51,10,6,"Sunny","5","no","8","2015",0
64,63,10,4,"Sunny","6","no","8","2015",0
66,66,10,5,"Sunny","7","no","8","2015",0
72,66,10,2,"Sunny","8","yes","8","2015",1
74,60,10,3,"Sunny","9","yes","8","2015",1
74,67,9,4,"Sunny","10","no","8","2015",0
74,70,10,9,"Rain","11","no","8","2015",0
68,62,10,7,"Sunny","12","no","8","2015",0
66,53,10,5,"Sunny","13","no","8","2015",0
72,52,10,6,"Sunny","14","no","8","2015",0
74,54,10,5,"Sunny","15","yes","8","2015",1
76,56,8,3,"Sunny","16","yes","8","2015",1
78,53,9,6,"Sunny","17","no","8","2015",0
72,78,8,7,"Rain","18","no","8","2015",0
76,77,7,6,"Sunny","19","no","8","2015",0
74,67,10,9,"Rain","20","no","8","2015",0
68,49,10,6,"Sunny","21","no","8","2015",0
68,50,10,4,"Sunny","22","yes","8","2015",1
70,55,10,5,"Sunny","23","yes","8","2015",1
72,56,10,7,"Sunny","24","no","8","2015",0
64,54,10,7,"Sunny","25","no","8","2015",0
60,61,10,6,"Sunny","26","no","8","2015",0
64,63,10,3,"Sunny","27","no","8","2015",0
68,55,10,2,"Sunny","28","no","8","2015",0
68,55,9,4,"Sunny","29","yes","8","2015",1
75,65,9,6,"Rain","30","yes","8","2015",1
76,60,9,6,"Sunny","31","no","8","2015",0
76,62,8,3,"Sunny","1","no","9","2015",0
78,61,9,4,"Rain","2","no","9","2015",0
76,65,8,5,"Rain","3","no","9","2015",0
78,63,7,4,"Sunny","4","no","9","2015",0
77,67,7,5,"Rain","5","yes","9","2015",1
75,61,10,5,"Sunny","6","yes","9","2015",1
77,52,10,6,"Sunny","7","no","9","2015",1
78,53,10,5,"Sunny","8","no","9","2015",0
78,67,10,7,"Rain","9","no","9","2015",0
67,84,6,5,"Rain","10","no","9","2015",0
67,76,6,3,"Sunny","11","no","9","2015",1
58,85,5,6,"Rain","12","yes","9","2015",1
56,72,10,7,"Rain","13","yes","9","2015",1
61,50,10,9,"Sunny","14","no","9","2015",0
62,60,9,5,"Sunny","15","no","9","2015",0
68,53,9,3,"Sunny","16","no","9","2015",0
70,56,8,3,"Sunny","17","no","9","2015",0
68,59,9,6,"Sunny","18","no","9","2015",0
71,70,8,10,"Rain","19","yes","9","2015",1
60,64,10,6,"Sunny","20","yes","9","2015",1
60,60,10,7,"Sunny","21","no","9","2015",0
64,66,10,6,"Sunny","22","no","9","2015",0
65,62,9,3,"Sunny","23","no","9","2015",0
67,53,10,5,"Sunny","24","no","9","2015",0
65,54,10,6,"Sunny","25","no","9","2015",0
65,50,10,8,"Sunny","26","yes","9","2015",1
66,60,10,9,"Rain","27","yes","9","2015",1
68,82,7,6,"Rain","28","no","9","2015",0
66,87,4,5,"Rain","29","no","9","2015",0
60,83,6,9,"Rain","30","no","9","2015",0
56,67,10,7,"Sunny","1","no","10","2015",0
50,62,10,9,"Rain","2","no","10","2015",0
47,82,9,9,"Rain","3","yes","10","2015",1
54,72,10,8,"Sunny","4","yes","10","2015",1
58,60,10,3,"Sunny","5","no","10","2015",0
62,64,10,1,"Sunny","6","no","10","2015",0
64,70,9,3,"Sunny","7","no","10","2015",0
62,74,6,2,"Sunny","8","no","10","2015",0
62,75,8,9,"Rain","9","no","10","2015",0
54,60,10,4,"Sunny","10","yes","10","2015",1
54,66,9,7,"Sunny","11","yes","10","2015",1
58,57,10,9,"Sunny","12","no","10","2015",0
58,72,10,11,"Rain","13","no","10","2015",0
52,65,10,8,"Sunny","14","no","10","2015",0
54,60,10,8,"Sunny","15","no","10","2015",0
50,65,10,9,"Rain","16","no","10","2015",0
39,63,10,7,"Sunny","17","yes","10","2015",1
38,61,10,6,"Sunny","18","yes","10","2015",1
42,52,10,7,"Sunny","19","no","10","2015",0
58,38,10,9,"Sunny","20","no","10","2015",0
58,43,10,8,"Sunny","21","no","10","2015",0
62,61,9,9,"Rain","22","no","10","2015",0
53,59,10,5,"Sunny","23","no","10","2015",0
58,70,7,9,"Rain","24","yes","10","2015",1
52,70,10,9,"Rain","25","yes","10","2015",1
47,58,10,3,"Sunny","26","no","10","2015",0
49,54,10,8,"Rain","27","no","10","2015",0
58,77,8,11,"Rain","28","no","10","2015",0
53,55,10,15,"Rain","29","no","10","2015",0
45,61,10,7,"Sunny","30","no","10","2015",0
51,51,10,4,"Sunny","31","yes","10","2015",1
58,64,9,12,"Rain","1","yes","11","2015",1
58,61,7,5,"Sunny","2","no","11","2015",0
60,40,10,3,"Sunny","3","no","11","2015",0
65,46,10,6,"Sunny","4","no","11","2015",0
68,56,10,7,"Sunny","5","no","11","2015",0
65,63,9,10,"Rain","6","no","11","2015",0
50,54,10,9,"Sunny","7","yes","11","2015",1
46,46,10,4,"Sunny","8","yes","11","2015",1
47,52,10,4,"Rain","9","no","11","2015",0
52,80,5,8,"Rain","10","no","11","2015",0
48,71,6,8,"Sunny","11","no","11","2015",1
55,61,10,12,"Rain","12","no","11","2015",0
46,41,10,18,"Sunny","13","no","11","2015",0
42,46,10,13,"Sunny","14","yes","11","2015",1
50,39,10,10,"Sunny","15","yes","11","2015",1
52,38,10,6,"Sunny","16","no","11","2015",0
56,38,10,9,"Sunny","17","no","11","2015",0
59,58,9,14,"Rain","18","no","11","2015",0
57,59,10,13,"Rain","19","no","11","2015",0
42,27,10,9,"Sunny","20","no","11","2015",0
45,38,10,9,"Rain","21","yes","11","2015",1
34,53,10,12,"Sunny","22","yes","11","2015",1
30,44,10,6,"Sunny","23","no","11","2015",0
40,56,10,6,"Sunny","24","no","11","2015",0
45,52,10,6,"Sunny","25","no","11","2015",0
53,48,10,9,"Sunny","26","no","11","2015",1
59,60,10,10,"Sunny","27","no","11","2015",1
52,90,4,7,"Rain","28","yes","11","2015",1
40,90,4,6,"Rain","29","yes","11","2015",1
40,77,9,6,"Sunny","30","no","11","2015",0
52,91,4,7,"Rain","1","no","12","2015",0
46,88,5,6,"Rain","2","no","12","2015",0
36,76,10,11,"Snow","3","no","12","2015",0
42,65,10,8,"Sunny","4","no","12","2015",0
38,82,4,3,"Sunny","5","yes","12","2015",1
38,83,3,2,"Sunny","6","yes","12","2015",1
39,76,5,4,"Sunny","7","no","12","2015",0
40,78,9,6,"Sunny","8","no","12","2015",0
45,72,8,8,"Rain","9","no","12","2015",0
52,74,9,8,"Sunny","10","no","12","2015",0
54,71,10,9,"Sunny","11","no","12","2015",0
62,73,10,9,"Sunny","12","yes","12","2015",1
60,77,10,7,"Sunny","13","yes","12","2015",1
58,76,7,9,"Rain","14","no","12","2015",0
48,71,10,12,"Rain","15","no","12","2015",0
50,64,10,5,"Sunny","16","no","12","2015",0
45,83,6,8,"Rain","17","no","12","2015",0
32,70,8,8,"Snow","18","no","12","2015",0
30,55,10,14,"Snow","19","yes","12","2015",1
32,47,10,7,"Sunny","20","yes","12","2015",1
48,52,10,11,"Rain","21","no","12","2015",0
56,84,8,10,"Rain","22","no","12","2015",0
58,78,10,8,"Sunny","23","no","12","2015",0
57,75,9,9,"Rain","24","no","12","2015",0
56,84,9,7,"Rain","25","no","12","2015",1
52,81,8,8,"Rain","26","yes","12","2015",1
54,85,8,12,"Rain","27","yes","12","2015",1
40,76,10,11,"Rain","28","no","12","2015",0
50,73,10,13,"Sunny","29","no","12","2015",0
46,74,10,5,"Sunny","30","no","12","2015",0
36,78,9,8,"Snow","31","no","12","2015",0
33,65,10,13,"Sunny","1","no","1","2016",1
32,64,10,10,"Sunny","2","yes","1","2016",1
32,67,10,11,"Snow","3","yes","1","2016",1
22,68,7,9,"Snow","4","no","1","2016",0
18,54,10,4,"Sunny","5","no","1","2016",0
28,50,8,5,"Sunny","6","no","1","2016",0
36,41,10,1,"Sunny","7","no","1","2016",0
35,74,7,4,"Rain","8","no","1","2016",0
48,83,7,8,"Rain","9","yes","1","2016",1
36,79,7,14,"Snow","10","yes","1","2016",1
20,62,10,13,"Snow","11","no","1","2016",0
24,78,3,13,"Snow","12","no","1","2016",0
12,64,10,13,"Snow","13","no","1","2016",0
32,58,10,11,"Sunny","14","no","1","2016",0
46,57,10,9,"Rain","15","no","1","2016",1
38,80,8,10,"Snow","16","yes","1","2016",1
22,70,7,9,"Snow","17","yes","1","2016",1
10,62,8,14,"Snow","18","no","1","2016",1
12,62,10,12,"Snow","19","no","1","2016",0
15,77,5,5,"Snow","20","no","1","2016",0
19,72,9,6,"Sunny","21","no","1","2016",0
20,77,5,6,"Snow","22","no","1","2016",0
24,77,3,10,"Snow","23","yes","1","2016",1
20,73,10,7,"Sunny","24","yes","1","2016",1
32,60,8,8,"Sunny","25","no","1","2016",0
42,67,10,13,"Rain","26","no","1","2016",0
29,63,10,10,"Sunny","27","no","1","2016",0
33,65,9,10,"Snow","28","no","1","2016",0
30,70,7,12,"Snow","29","no","1","2016",0
38,48,10,10,"Sunny","30","yes","1","2016",1
56,46,10,11,"Sunny","31","yes","1","2016",1
48,72,10,11,"Rain","1","no","2","2016",0
40,64,10,7,"Sunny","2","no","2","2016",0
56,76,9,13,"Rain","3","no","2","2016",0
38,63,10,8,"Sunny","4","no","2","2016",0
32,60,10,8,"Snow","5","no","2","2016",0
36,47,10,9,"Sunny","6","yes","2","2016",1
38,47,10,7,"Sunny","7","yes","2","2016",1
40,72,10,8,"Rain","8","no","2","2016",0
30,83,3,8,"Snow","9","no","2","2016",0
21,72,4,15,"Snow","10","no","2","2016",0
16,62,8,14,"Snow","11","no","2","2016",0
14,73,6,9,"Snow","12","no","2","2016",0
12,64,5,14,"Snow","13","yes","2","2016",1
11,61,10,6,"Sunny","14","yes","2","2016",1
28,86,4,8,"Snow","15","no","2","2016",1
34,89,3,6,"Snow","16","no","2","2016",0
31,82,7,6,"Snow","17","no","2","2016",0
26,56,10,5,"Sunny","18","no","2","2016",0
43,41,10,11,"Sunny","19","no","2","2016",0
60,41,10,20,"Sunny","20","yes","2","2016",1
48,51,10,5,"Sunny","21","yes","2","2016",1
40,55,10,6,"Sunny","22","no","2","2016",0
44,61,10,7,"Rain","23","no","2","2016",0
52,81,8,12,"Rain","24","no","2","2016",0
37,76,5,16,"Snow","25","no","2","2016",0
27,59,8,11,"Snow","26","no","2","2016",0
34,57,10,9,"Sunny","27","yes","2","2016",1
50,42,10,14,"Sunny","28","yes","2","2016",1
48,59,10,17,"Rain","29","no","2","2016",0
50,61,8,11,"Rain","1","no","3","2016",0
32,61,10,15,"Snow","2","no","3","2016",0
28,73,6,4,"Snow","3","no","3","2016",0
32,81,5,3,"Snow","4","no","3","2016",0
36,62,10,2,"Snow","5","yes","3","2016",1
38,71,9,5,"Sunny","6","yes","3","2016",1
48,49,10,10,"Sunny","7","no","3","2016",0
60,42,10,9,"Sunny","8","no","3","2016",0
62,45,10,11,"Sunny","9","no","3","2016",0
59,77,9,9,"Rain","10","no","3","2016",0
48,79,9,7,"Rain","11","no","3","2016",0
52,60,10,4,"Sunny","12","yes","3","2016",1
54,72,9,7,"Rain","13","yes","3","2016",1
58,81,9,9,"Rain","14","no","3","2016",0
54,84,8,5,"Rain","15","no","3","2016",0
60,54,10,9,"Sunny","16","no","3","2016",0
52,36,10,10,"Sunny","17","no","3","2016",0
48,40,10,10,"Sunny","18","no","3","2016",0
36,77,8,4,"Snow","19","yes","3","2016",1
34,82,4,5,"Snow","20","yes","3","2016",1
34,68,9,7,"Snow","21","no","3","2016",0
44,43,10,9,"Sunny","22","no","3","2016",0
60,34,10,11,"Sunny","23","no","3","2016",0
62,52,10,11,"Rain","24","no","3","2016",0
47,75,9,11,"Rain","25","no","3","2016",1
44,56,10,4,"Sunny","26","yes","3","2016",1
58,52,10,7,"Sunny","27","yes","3","2016",1
49,76,9,14,"Rain","28","no","3","2016",0
43,55,10,9,"Sunny","29","no","3","2016",0
49,36,10,8,"Sunny","30","no","3","2016",0
64,43,10,13,"Rain","31","no","3","2016",0
